marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Renault,Duster,2019,61277,2.0 INTENS,Manual,209999,Ciudad de México
Mg,MG5,2022,35640,1.5 ELEGANCE CVT,Automático,229999,Ciudad de México
Mazda,Mazda 3,2018,56000,2.5 SEDAN I TOURING TA,Automático,227999,Ciudad de México
Mercedes Benz,Clase E,2017,43000,2.0 E 200 CGI AVANTGARDE,Automático,464999,Ciudad de México
Nissan,Sentra,2021,18815,2.0 ADVANCE,Manual,306999,Ciudad de México
Mazda,Mazda 3,2019,61733,2.5 I GRAND TOURING SEDAN AUTO,Automático,286999,Ciudad de México
Volkswagen,Jetta,2017,81521,2.5 COMFORTLINE TIP. BOLSAS AIRE DEL.,Automático,220999,Monterrey
Kia,Seltos,2020,40299,1.4 GT LINE DCT,Automático,337999,Ciudad de México
Volkswagen,Tiguan,2018,56418,1.4 COMFORTLINE DCT,Automático,324999,Ciudad de México
Kia,Sportage,2020,31725,2.0 LX AUTO,Automático,310999,Ciudad de México
Kia,Sportage,2018,54000,2.4 SXL 4WD AUTO,Automático,301999,Ciudad de México
Volkswagen,T-Cross,2021,44329,1.6 COMFORTLINE AUTO,Automático,312999,Ciudad de México
Buick,Encore,2020,33000,1.3 SPORT TOURING AUTO,Automático,360999,Ciudad de México
Jac,SEI6 PRO,2023,22425,1.5 QUANTUM DCT,Automático,388999,Guadalajara
Ford,Bronco Sport,2022,26756,1.5 BIG BEND AUTO 4WD,Automático,517999,Ciudad de México
Mazda,CX-5,2019,54353,2.5 SIGNATURE AUTO 2WD,Automático,369999,Ciudad de México
Nissan,March,2020,62156,1.6 ADVANCE,Manual,188999,Ciudad de México
Mini,Cooper S,2018,47000,2.0 COOPER S CHILI AUTO,Automático,309999,Ciudad de México
Volvo,XC90,2019,65527,2.0 INSCRIPTION T6 AUTO AWD,Automático,678999,Ciudad de México
Mazda,CX-5,2021,27212,2.5 I GRAND TOURING AUTO,Automático,411999,Ciudad de México
Mazda,CX-9,2016,94441,2.5 TURBO I GRAND TOURING 4WD AT,Automático,316999,Ciudad de México
Renault,Duster,2020,73000,2.0 INTENS DEH AUTO,Automático,208999,Ciudad de México
Mazda,Mazda 3,2021,58620,2.5 I SPORT AUTO,Automático,305999,Ciudad de México
Volkswagen,Vento,2021,44677,1.6 STARTLINE,Manual,235999,Ciudad de México
Nissan,Sentra,2023,11000,2.0 ADVANCE CVT,Automático,333999,Ciudad de México
Kia,Optima,2018,85279,2.4 EX AUTO,Automático,234999,Ciudad de México
Bmw,Serie 3,2017,62000,2.0 320IA AUTO,Automático,301999,Cuernavaca
Kia,Sorento,2018,61105,3.3 SXL AUTO 4WD,Automático,369999,Ciudad de México
Peugeot,3008,2024,20507,1.6 THP GT AUTO,Automático,494999,Ciudad de México
Buick,Encore,2015,101568,1.4 AUTO CXL L PREMIUM,Automático,198999,Ciudad de México
Buick,Encore,2020,86635,1.3 LEATHER AUTO,Automático,310999,Querétaro
Kia,Sportage,2020,48071,2.4 SX AUTO,Automático,342999,Ciudad de México
Volkswagen,Teramont,2019,72000,3.6 COMFORTLINE PLUS AUTO,Automático,462999,Ciudad de México
Renault,Duster,2020,54766,2.0 INTENS DEH AUTO,Automático,210999,Guadalajara
Bmw,X3,2017,94772,2.0 SDRIVE20IA AT,Automático,289999,Guadalajara
Ford,EcoSport,2020,48029,2.0 TITANIUM AUTO,Automático,285999,Ciudad de México
Kia,Soul,2021,16349,2.0 EX IVT AUTO,Automático,300999,Monterrey
Infiniti,QX80,2017,87670,5.6 PERFECTION 7 PASAJEROS 4WD AUTO,Automático,468999,Ciudad de México
Acura,RDX,2019,52250,2.0 TECH AUTO 4WD,Automático,475999,Ciudad de México
Nissan,X-Trail,2021,36685,2.5 EXCLUSIVE 2 ROW CVT,Automático,424999,Ciudad de México
Bmw,X1,2019,47234,1.5 SDRIVE18IA EXECUTIVE DCT,Automático,358999,Cuernavaca
Dodge,Journey,2023,7749,1.5 GT AUTO,Automático,475999,Querétaro
Volkswagen,Tiguan,2018,50404,1.4 COMFORTLINE PIEL DCT,Automático,329999,Ciudad de México
